Healthcare Rank,Provider State,Healthcare Score,Healthcare Cost,Healthcare Quality,Healthcare Access,Tax Rank,Median Effective Property Tax Rate,Mean Effective Property Tax Rate,Median Home Value,Median Property Taxes Paid,Aggregate Home Value,Aggregate Property Taxes Paid
44,Alabama,39.3,14.72,7.19,17.39,2,0.411203055,0.399992916,157100,646,"261,249,051,600","1,044,977,700"
28,Alaska,51.13,12.51,23.8,14.82,33,1.224893918,1.040626409,282800,3464,"51,756,931,700","538,596,300"
15,Arizona,57.34,20.28,22.12,14.94,12,0.620481928,0.625576593,265600,1648,"561,056,302,400","3,509,836,900"
36,Arkansas,44.48,20.2,8.4,15.89,13,0.617874736,0.642112003,142100,878,"136,741,050,700","878,030,700"
4,California,61.72,21.42,23.61,16.68,18,0.746510816,0.746958938,573200,4279,"5,402,307,214,200","40,353,016,600"
8,Colorado,60.53,19.87,23.89,16.77,3,0.507421384,0.546347335,397500,2017,"679,978,333,400","3,715,043,500"
10,Connecticut,60.02,9.98,28.0,22.04,48,2.146145797,1.789740398,286700,6153,"361,068,544,200","6,462,189,600"
41,Delaware,42.5,8.91,17.55,16.04,11,0.582128291,0.613276973,269700,1570,"84,305,268,700","517,024,800"
49,District of Columbia,38.04,8.5,10.83,18.71,10,0.572574304,0.621126564,635900,3641,"97,577,230,600","606,078,100"
23,Florida,53.89,16.19,22.03,15.67,24,0.86168074,0.912586595,248700,2143,"1,721,999,478,400","15,714,736,400"
50,Georgia,35.36,14.8,10.55,10.01,27,0.895016933,0.92107057,206700,1850,"656,518,283,900","6,046,996,700"
6,Hawaii,60.85,17.5,26.6,16.75,1,0.285908473,0.315162477,662100,1893,"219,547,328,600","691,930,800"
17,Idaho,56.46,17.66,20.44,18.35,14,0.631144465,0.665218989,266500,1682,"147,334,008,300","980,093,800"
30,Illinois,50.72,17.99,18.01,14.72,50,2.231420508,2.082329056,212600,4744,"880,133,788,000","18,327,281,600"
38,Indiana,44.19,18.48,12.23,13.49,21,0.825236593,0.843187726,158500,1308,"357,704,269,800","3,016,118,500"
9,Iowa,60.41,20.52,18.85,21.04,41,1.569383945,1.524097966,160700,2522,"177,542,215,800","2,705,917,300"
20,Kansas,54.84,21.01,16.43,17.4,37,1.429004854,1.341555566,164800,2355,"156,381,133,400","2,097,939,800"
40,Kentucky,42.75,17.33,9.24,16.18,22,0.85106383,0.82812759,155100,1320,"226,992,364,800","1,879,786,400"
47,Louisiana,38.75,16.68,7.84,14.23,4,0.564942529,0.558271455,174000,983,"248,127,230,500","1,385,223,500"
12,Maine,58.7,14.88,17.27,26.55,36,1.283356907,1.236276462,212100,2722,"107,632,211,800","1,330,631,700"
39,Maryland,43.65,11.04,18.11,14.51,31,1.073264402,1.048547809,338500,3633,"610,305,094,600","6,399,340,700"
3,Massachusetts,62.17,15.62,27.25,19.3,34,1.198728514,1.139045292,424700,5091,"874,968,507,900","9,966,287,600"
31,Michigan,49.71,18.07,11.76,19.88,38,1.482277745,1.378249029,172100,2551,"612,096,009,100","8,436,207,300"
1,Minnesota,66.7,20.6,22.31,23.79,32,1.105915268,1.107300599,250200,2767,"465,043,720,100","5,149,431,900"
48,Mississippi,38.09,18.4,4.39,15.31,16,0.790977444,0.669107355,133000,1052,"126,187,852,200","844,332,200"
33,Missouri,48.12,19.38,10.83,17.91,30,0.975552969,1.007818447,171800,1676,"354,626,967,700","3,573,996,000"
7,Montana,60.61,19.46,22.21,18.94,19,0.830109973,0.738696424,263700,2189,"97,365,436,800","719,235,000"
5,Nebraska,61.55,17.33,22.31,21.91,44,1.674899483,1.632743212,174100,2916,"107,426,451,800","1,753,998,100"
37,Nevada,44.3,19.71,14.65,9.94,6,0.549540994,0.589328317,315900,1736,"244,184,974,300","1,439,051,200"
11,New Hampshire,58.94,16.35,22.77,19.82,49,2.090751645,1.929958419,288700,6036,"125,730,273,600","2,426,542,000"
13,New Jersey,57.83,16.03,27.16,14.65,51,2.473151532,2.234908494,355700,8797,"902,549,968,000","20,171,165,900"
18,New Mexico,56.02,20.11,17.55,18.35,17,0.795454545,0.671687641,184800,1470,"135,974,915,200","913,326,700"
27,New York,51.35,11.04,26.6,13.72,42,1.727539636,1.401598852,340600,5884,"2,001,065,387,600","28,046,909,500"
45,North Carolina,39.2,15.94,11.95,11.31,20,0.801518987,0.815495318,197500,1583,"664,468,167,700","5,418,706,800"
2,North Dakota,65.02,20.03,21.84,23.15,29,0.996665079,0.978740396,209900,2092,"46,261,634,000","452,781,300"
34,Ohio,47.96,20.03,10.73,17.19,43,1.530331457,1.591193754,159900,2447,"621,215,334,300","9,884,739,600"
51,Oklahoma,34.74,16.52,5.88,12.34,25,0.895888594,0.892274279,150800,1351,"189,595,278,000","1,691,709,900"
26,Oregon,51.63,16.6,17.55,17.49,28,0.925455549,0.932050067,362200,3352,"421,925,016,500","3,932,552,400"
22,Pennsylvania,53.93,17.66,16.52,19.75,40,1.531677648,1.490141699,197300,3022,"870,341,948,500","12,969,328,300"
16,Rhode Island,56.97,19.21,18.11,19.64,39,1.532125769,1.398283745,292600,4483,"95,637,084,000","1,337,277,800"
42,South Carolina,41.13,21.42,9.33,10.38,5,0.563256326,0.566797279,181800,1024,"335,660,962,300","1,902,517,200"
24,South Dakota,53.54,17.09,17.08,19.37,35,1.241214058,1.168399745,187800,2331,"52,288,611,200","610,940,000"
43,Tennessee,39.7,15.94,7.28,16.48,15,0.655653072,0.667581158,193700,1270,"445,513,517,300","2,974,164,300"
35,Texas,45.94,18.23,14.93,12.77,46,1.737413623,1.677251387,202600,3520,"1,662,529,339,200","27,884,796,400"
14,Utah,57.38,25.1,21.75,10.54,7,0.57904033,0.570329234,339700,1967,"286,178,597,200","1,632,160,200"
19,Vermont,55.23,10.96,19.6,24.68,47,1.899418121,1.825774062,240600,4570,"52,549,996,200","959,444,200"
32,Virginia,48.17,17.58,18.76,11.83,23,0.818950931,0.874616945,295500,2420,"804,950,137,600","7,040,230,300"
25,Washington,52.2,19.54,18.29,14.36,26,0.943661972,0.87324979,397600,3752,"916,526,977,200","8,003,569,900"
46,West Virginia,38.81,9.65,6.53,22.63,8,0.586956522,0.567726835,128800,756,"83,822,865,300","475,884,900"
21,Wisconsin,54.29,18.07,17.64,18.58,45,1.73253493,1.610044493,200400,3472,"387,389,480,700","6,237,143,000"
29,Wyoming,50.74,15.13,19.51,16.11,9,0.606137032,0.555546853,237900,1442,"52,074,941,700","289,300,700"
